issuerTradingSymbol,date,close
TTEC,2022-12-27,44.67
TTEC,2022-12-28,42.72
TTEC,2022-12-29,44.38
TTEC,2022-12-30,44.13
TTEC,2023-01-03,44.56
TTEC,2023-01-04,44.48
TTEC,2023-01-05,43.92
TTEC,2023-01-06,44.74
TTEC,2023-01-09,45.27
TTEC,2023-01-10,45.92
TTEC,2023-01-11,47.19
TTEC,2023-01-12,47.91
TTEC,2023-01-13,48.39
TTEC,2023-01-17,48.85
TTEC,2023-01-18,48.04
TTEC,2023-01-19,48.66
TTEC,2023-01-20,49.99
TTEC,2023-01-23,51.78
TTEC,2023-01-24,51.8
TTEC,2023-01-25,52.08
TTEC,2023-01-26,51.0
TTEC,2023-01-27,48.74
TTEC,2023-01-30,48.94
TTEC,2023-01-31,50.84
TTEC,2023-02-01,52.95
TTEC,2023-02-02,53.5
TTEC,2023-02-03,53.56
TTEC,2023-02-06,51.14
TTEC,2023-02-07,52.05
TTEC,2023-02-08,51.13
TTEC,2023-02-09,49.83
TTEC,2023-02-10,49.5
TTEC,2023-02-13,50.79
TTEC,2023-02-14,49.82
TTEC,2023-02-15,49.97
TTEC,2023-02-16,49.96
TTEC,2023-02-17,49.7
TTEC,2023-02-21,49.17
TTEC,2023-02-22,49.3
TTEC,2023-02-23,49.46
TTEC,2023-02-24,47.89
